Symbol,Name,Sector,description
MMM,3M Company,Industrials,"The 3M Company, formerly known as the Minnesota Mining and Manufacturing Company, is an American multinational conglomerate corporation based in Maplewood, Minnesota, a suburb of St. Paul."
AOS,A.O. Smith Corp,Industrials,NA
ABT,Abbott Laboratories,Health Care,"Abbott Laboratories is an American health care company with headquarters in Lake Bluff, Illinois, United States."
ABBV,AbbVie Inc.,Health Care,AbbVie is a publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.
ACN,Accenture plc,Information Technology,"Accenture is a global management consulting and professional services firm that provides strategy, consulting, digital, technology and operations services."
ATVI,Activision Blizzard,Information Technology,"Activision Blizzard, Inc. is an American interactive entertainment company. Headquartered in Santa Monica, California and founded in 2008 through the merger of Vivendi Games and Activision, the company ..."
AYI,Acuity Brands Inc,Industrials,"Acuity Brands, Inc. is a lighting and building-management solutions provider headquartered in Atlanta, Ga., with operations throughout North America and in Europe and Asia."
ADBE,Adobe Systems Inc,Information Technology,"Adobe Systems Incorporated, commonly known as Adobe, is an American multinational computer software company. The company is headquartered in San Jose, California, United States."
AAP,Advance Auto Parts,Consumer Discretionary,"Advance Auto Parts is a retailer of automotive parts and accessories in the United States headquartered in Roanoke, Virginia. AAP was founded in 1932 and had 2015 sales of approximately $9.74 billion."
AMD,Advanced Micro Devices Inc,Information Technology,"Advanced Micro Devices, Inc. is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets."
AES,AES Corp,Utilities,"The AES Corporation is a Fortune 200 company that generates and distributes electrical power. AES is headquartered in Arlington, Virginia, and is one of the world's leading power companies, generating ..."
AET,Aetna Inc,Health Care,"Aetna Inc. is an American managed health care company, which sells traditional and consumer directed health care insurance plans and related services, such as medical, pharmaceutical, dental, behavioral health, long-term care, and disability plans."
AMG,Affiliated Managers Group Inc,Financials,"Affiliated Managers Group Inc. is an American international investment management company headquartered in Massachusetts that owns stakes in a number of boutique asset management, hedge fund, and specialized private equity firms."
AFL,AFLAC Inc,Financials,"Aflac Inc. is an American insurance company and is the largest provider of supplemental insurance in the United States. The company was founded in 1955 and is based in Columbus, Georgia."
A,Agilent Technologies Inc,Health Care,"Agilent Technologies is an American public research, development and manufacturing company established in 1999 as a spin-off from Hewlett-Packard. The resulting IPO of Agilent stock was the largest in the history of Silicon Valley at the time."
APD,Air Products & Chemicals Inc,Materials,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses."
ALK,Alaska Air Group Inc,Industrials,"Alaska Air Group Inc. is an airline holding company based in SeaTac, Washington. It owns two certificated airlines operating in the United States: Alaska Airlines and Horizon Air."
AKAM,Akamai Technologies Inc,Information Technology,"Akamai Technologies, Inc. is an American content delivery network and cloud service provider headquartered in Cambridge, Massachusetts, in the United States."
ALB,Albemarle Corp,Materials,"Albemarle Corporation is a chemical company with corporate headquarters in Charlotte, North Carolina. It is a specialty chemical manufacturing enterprise."
ARE,Alexandria Real Estate Equities Inc,Real Estate,Alexandria Real Estate Equities is a major United States real estate investment trust.
ALXN,Alexion Pharmaceuticals,Health Care,"Alexion Pharmaceuticals Inc. is an American pharmaceutical company best known for its development of Soliris, a drug used to treat the rare disorders atypical hemolytic uremic syndrome and paroxysmal nocturnal hemoglobinuria."
ALGN,Align Technology,Health Care,"Align Technology is a manufacturer of 3D digital scanners and a clear aligners used in orthodontics. It is headquartered in San Jose, California; it manufactures the aligners in Juarez, Mexico and its scanners in Israel."
ALLE,Allegion,Industrials,"Allegion Plc is a provider of security products and solutions for homes and businesses. It makes 31 global brands, including CISA, Interflex, LCN, Schlage and Von Duprin."
AGN,"Allergan, Plc",Health Care,Allergan plc is a multinational company in the pharmaceutical industry that produces branded drugs and performs pharmaceutical research and development.
ADS,Alliance Data Systems,Information Technology,"Alliance Data Systems Corporation is a publicly traded provider of loyalty and marketing services, such as private label credit cards, coalition loyalty programs, and direct marketing, derived from the capture and analysis of transaction-rich data."
LNT,Alliant Energy Corp,Utilities,"Alliant Energy Corporation is a public utility holding company that incorporated in Madison, Wisconsin in 1981."
ALL,Allstate Corp,Financials,The Allstate Corporation is the one of the largest insurance providers in the United States and one of the largest that is publicly held. The company also has personal lines insurance operations in Canada.
GOOGL,Alphabet Inc Class A,Information Technology,NA
