Name,Categories,Description
Bruno The King Of Ravioli Company Inc,Grocery Stores,"In 1888 Bruno Cavalli had a dream. Bruno dreamt of coming to America to provide for his family better then he could ever imagine. He left the Piedmont region of Italy to start his quest in America, but only could find work as a busboy, then soon a waiter. While Bruno waited tables, he noticed that many of his customers from the Old Country asked for fresh ravioli, however there were no restaurants in New York serving ravioli. So, Bruno found a New World niche and started to make ravioli to serve to his customers. Bruno had a small side business of making handmade fresh meat or cheese ravioli, packing them in shoeboxes, and delivering on his bicycle. In 1905 Bruno had opened his first shop called Bruno Ravioli where he sold his homemade pastas, sauces, and Italian delicacies. Bruno's wife helped at the counter and his sons Louis and Amerigo slept in cradles made of spaghetti crates in the back of the shop. As the boys grew up, there were sent out on bicycles delivering Bruno's famous product."
Amish Fine Food,Grocery Stores,"These days, customers won't accept anything less than the freshest products. We've taken that to heart, and that's why New York's fine food lovers have made us one of the most popular markets in the city. From bagels to baked tofu to Bolognese, our catering is built around the love of good food. Customers say they never get tired of our menu-- our food is worth eating every day."
The Easy Market,Grocery Stores,Easy online grocery store in NY. Fresh from your neighborhood store. Save time and money with offers.
Whole World Grocery,Grocery Stores,"Whole World Grocery is an Online Grocery Supermarket which provides Hookah, Tea Kettle, Persian Cookies, Indian Spice, Saffron, Sangak Bread etc. grocery products throughout the USA."
"Oak Hill Bulk Foods, Inc.",Grocery Stores,"We are a specialty grocery store in the Finger Lakes Region of Western NY. Oak Hill was founded in 1982 and continues to be owned and staffed by local Mennonites. We have grown from a small front room in an old farm house to a much larger yet comfortable retail store. We love to offer unique things like locally-grown produce and Maple Syrup to old fashioned candies. We recently added a Cafe & Bakery, featuring some mouthwatering baked goods and some great tasting coffees and lattes. Our cafe soups and sandwiches are made from scratch for a much fresher and tastier lineup of lunches. We have everything from basic baking supplies to pastas, cereals, spices, snacks, candies, and lots more. Our deli includes some of the finest cold cuts available from Lancaster County PA and Ohio."
Nielsen,Market Research,"Nielsen is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. Our approach marries proprietary Nielsen data with other data sources to help clients around the world understand what's happening now, what's happening next, and how to best act on this knowledge."
QuintilesIMS,Market Research,"Healthcare is an industry designed to help humans. As a global community, we continuously invest and commit to advancing human health. To deliver value and real outcomes. To rise to the challenge to find the next breakthrough by making the most of increasingly limited resources. We are inspired by the potential and propelled by the possibilities. We share the vision to drive healthcare forward. To see how we can help accelerate progress and achievements. Others are developing these medical breakthroughs. We do our part by using breakthroughs in insights, technology and human intelligence to reimagine and deliver ways to help make them a reality. It's bigger than better clinical trials. Or advances in technologies and analytics. Or faster insights. It's about exploring a new path to better health outcomes via Human Data Science."
Kantar,Market Research,"Kantar is home to some of the world's leading research, data and insights brands. Individually, brands such as Kantar Millward Brown, Kantar TNS, Kantar Media and Kantar Worldpanel are famous and highly respected experts in their fields. Collectively, they offer the most complete view of consumers ' the way they live, shop, vote, watch and tweet ' in over a hundred countries worldwide. For the benefit of our clients, Kantar connects these specialists as well as providing access to the wider WPP group of companies and other partners. Please go to Our Brands to find out more."
IRI,Market Research,"As one of the original innovators in big data, IRI integrates the world's largest set of otherwise disconnected purchase, media, social, causal and loyalty data to help CPG, retail, over-the-counter health care and media companies grow their businesses. We combine this data with predictive analytics to uncover new consumer insights and integrate them on the most technologically-advanced, cloud-based visualization platform, IRI Liquid Data. Whether it's analyzing how to make your assortment, pricing and promotions more profitable, tailoring your media strategies to likely purchasers of your brand, or guiding you through new product or market planning, we ensure that your business can better leverage data to help you grow."
Ipsos,Market Research,"At Ipsos we are passionately curious about people, markets, brands and society. We deliver information and analysis that makes our complex world easier and faster to navigate and inspires our clients to make smarter decisions. We believe that our work is important. Security, Simplicity, Speed and Substance applies to everything we do. Through specialisation, we offer our clients a unique depth of knowledge and expertise. Learning from different experiences gives us perspective and inspires us to boldly call things into question, to be creative. By nurturing a culture of collaboration and curiosity, we attract the highest calibre of people who have the ability and desire to influence and shape the future."
